pick_date,ticker,direction,score,entry_close,exit_date,exit_close,return_pct,spy_return_pct,beat_spy,no_call
2026-08-11,PLUG,LONG,79,2.22,2026-08-18,2.16,-2.7,-0.42,False,False
2026-08-11,WAFU,LONG,62,1.665,2026-08-18,1.44,-13.51,-0.42,False,False
2026-08-11,WXM,SHORT,67,7.9,2026-08-18,4.55,42.41,-0.42,True,False
2026-08-12,BOXL,WATCH,20,7.87,2026-08-19,5.21,-33.8,-0.44,,True
2026-08-12,CRWG,LONG,30,30.25,2026-08-19,21.09,-30.28,-0.44,False,False
2026-08-12,CRWU,LONG,30,5.79,2026-08-19,4.055,-29.97,-0.44,False,False
2026-08-12,CRWV,WATCH,46,107.73,2026-08-19,90.87,-15.65,-0.44,,True
2026-08-12,CYCU,WATCH,20,0.62,2026-08-19,0.6917,11.56,-0.44,,True
2026-08-12,NBIL,WATCH,17,34.85,2026-08-19,25.24,-27.58,-0.44,,True
2026-08-12,NOK,WATCH,35,10.32,2026-08-19,10.13,-1.84,-0.44,,True
2026-08-12,OFAL,WATCH,15,1.36,2026-08-19,0.9633,-29.17,-0.44,,True
2026-08-12,RMCF,WATCH,15,1.52,2026-08-19,1.3,-14.47,-0.44,,True
2026-08-12,SOXL,SHORT,49,142.16,2026-08-19,120.6,15.17,-0.44,True,False
2026-08-13,ARX,LONG,45,19.51,2026-08-20,19.57,0.31,-1.94,True,False
2026-08-13,DFSC,LONG,56,2.31,2026-08-20,1.69,-26.84,-1.94,False,False
2026-08-13,FGI,LONG,73,11.72,2026-08-20,8.83,-24.66,-1.94,False,False
2026-08-13,GXAI,LONG,54,1.26,2026-08-20,0.866,-31.27,-1.94,False,False
2026-08-13,IVDA,LONG,72,0.5253,2026-08-20,0.335,-36.23,-1.94,False,False
2026-08-13,OFAL,WATCH,27,1.63,2026-08-20,0.86,-47.24,-1.94,,True
2026-08-13,ONDS,LONG,81,8.91,2026-08-20,8.38,-5.95,-1.94,False,False
2026-08-13,OPEN,WATCH,48,3.65,2026-08-20,3.47,-4.93,-1.94,,True
2026-08-13,SNXX,WATCH,35,14.09,2026-08-20,15.1,7.17,-1.94,,True
